"","GEOID","NAME","variable","estimate","moe","label","concept"
"1","01001","Autauga County, Alabama","S1501_C02_015",28.3,2.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"2","01003","Baldwin County, Alabama","S1501_C02_015",32.8,1.3,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"3","01005","Barbour County, Alabama","S1501_C02_015",11.5,1.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"4","01007","Bibb County, Alabama","S1501_C02_015",11.5,2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"5","01009","Blount County, Alabama","S1501_C02_015",15.6,1.7,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"6","01011","Bullock County, Alabama","S1501_C02_015",9,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"7","01013","Butler County, Alabama","S1501_C02_015",13.8,1.7,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"8","01015","Calhoun County, Alabama","S1501_C02_015",20.5,1.2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"9","01017","Chambers County, Alabama","S1501_C02_015",14.6,1.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"10","01019","Cherokee County, Alabama","S1501_C02_015",15.9,2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"11","01021","Chilton County, Alabama","S1501_C02_015",15.2,1.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"12","01023","Choctaw County, Alabama","S1501_C02_015",13.9,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"13","01025","Clarke County, Alabama","S1501_C02_015",15.4,2.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"14","01027","Clay County, Alabama","S1501_C02_015",15.2,2.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"15","01029","Cleburne County, Alabama","S1501_C02_015",18.2,3.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"16","01031","Coffee County, Alabama","S1501_C02_015",21.5,1.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"17","01033","Colbert County, Alabama","S1501_C02_015",20.3,2.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"18","01035","Conecuh County, Alabama","S1501_C02_015",13.1,2.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"19","01037","Coosa County, Alabama","S1501_C02_015",14.9,2.6,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"20","01039","Covington County, Alabama","S1501_C02_015",17.2,1.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"21","01041","Crenshaw County, Alabama","S1501_C02_015",16.8,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"22","01043","Cullman County, Alabama","S1501_C02_015",19.1,1.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"23","01045","Dale County, Alabama","S1501_C02_015",19.3,1.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"24","01047","Dallas County, Alabama","S1501_C02_015",17,1.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"25","01049","DeKalb County, Alabama","S1501_C02_015",13.9,1.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"26","01051","Elmore County, Alabama","S1501_C02_015",24.4,1.7,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"27","01053","Escambia County, Alabama","S1501_C02_015",12.5,1.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"28","01055","Etowah County, Alabama","S1501_C02_015",17.5,1.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"29","01057","Fayette County, Alabama","S1501_C02_015",15.6,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"30","01059","Franklin County, Alabama","S1501_C02_015",14.9,1.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"31","01061","Geneva County, Alabama","S1501_C02_015",13.3,2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"32","01063","Greene County, Alabama","S1501_C02_015",12.5,3.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"33","01065","Hale County, Alabama","S1501_C02_015",16.8,3.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"34","01067","Henry County, Alabama","S1501_C02_015",21.7,3.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"35","01069","Houston County, Alabama","S1501_C02_015",22.8,0.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"36","01071","Jackson County, Alabama","S1501_C02_015",15.6,1.7,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"37","01073","Jefferson County, Alabama","S1501_C02_015",35.9,0.7,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"38","01075","Lamar County, Alabama","S1501_C02_015",11.6,2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"39","01077","Lauderdale County, Alabama","S1501_C02_015",27.1,1.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"40","01079","Lawrence County, Alabama","S1501_C02_015",15.6,2.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"41","01081","Lee County, Alabama","S1501_C02_015",41.3,1.7,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"42","01083","Limestone County, Alabama","S1501_C02_015",30.4,1.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"43","01085","Lowndes County, Alabama","S1501_C02_015",13.9,2.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"44","01087","Macon County, Alabama","S1501_C02_015",20.7,2.7,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"45","01089","Madison County, Alabama","S1501_C02_015",45.7,1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"46","01091","Marengo County, Alabama","S1501_C02_015",20.4,3.2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"47","01093","Marion County, Alabama","S1501_C02_015",12.8,1.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"48","01095","Marshall County, Alabama","S1501_C02_015",21.3,1.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"49","01097","Mobile County, Alabama","S1501_C02_015",25.2,0.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"50","01099","Monroe County, Alabama","S1501_C02_015",11.4,1.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"51","01101","Montgomery County, Alabama","S1501_C02_015",34.3,1.2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"52","01103","Morgan County, Alabama","S1501_C02_015",23.2,1.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"53","01105","Perry County, Alabama","S1501_C02_015",16.8,3.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"54","01107","Pickens County, Alabama","S1501_C02_015",13.7,2.2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"55","01109","Pike County, Alabama","S1501_C02_015",27.3,2.6,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"56","01111","Randolph County, Alabama","S1501_C02_015",20.5,2.3,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"57","01113","Russell County, Alabama","S1501_C02_015",16.9,2.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"58","01115","St. Clair County, Alabama","S1501_C02_015",19.9,1.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"59","01117","Shelby County, Alabama","S1501_C02_015",46.2,1.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"60","01119","Sumter County, Alabama","S1501_C02_015",19,3.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
