"","GEOID","NAME","variable","estimate","moe","label","concept"
"1","01001","Autauga County, Alabama","S1903_C03_001",69841,5512,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"2","01003","Baldwin County, Alabama","S1903_C03_001",75019,2751,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"3","01005","Barbour County, Alabama","S1903_C03_001",44290,2762,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"4","01007","Bibb County, Alabama","S1903_C03_001",51215,6678,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"5","01009","Blount County, Alabama","S1903_C03_001",61096,3328,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"6","01011","Bullock County, Alabama","S1903_C03_001",36723,6836,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"7","01013","Butler County, Alabama","S1903_C03_001",44881,4130,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"8","01015","Calhoun County, Alabama","S1903_C03_001",55826,2168,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"9","01017","Chambers County, Alabama","S1903_C03_001",49295,5005,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"10","01019","Cherokee County, Alabama","S1903_C03_001",50769,4891,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"11","01021","Chilton County, Alabama","S1903_C03_001",61873,2954,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"12","01023","Choctaw County, Alabama","S1903_C03_001",44483,4856,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"13","01025","Clarke County, Alabama","S1903_C03_001",49167,4873,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"14","01027","Clay County, Alabama","S1903_C03_001",51852,3549,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"15","01029","Cleburne County, Alabama","S1903_C03_001",53319,4481,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"16","01031","Coffee County, Alabama","S1903_C03_001",64672,3538,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"17","01033","Colbert County, Alabama","S1903_C03_001",56736,4001,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"18","01035","Conecuh County, Alabama","S1903_C03_001",42266,4545,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
"19","01037","Coosa County, Alabama","S1903_C03_001",57063,5500,"Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","Median Income in the Past 12 Months (in 2023 Inflation-Adjusted Dollars)"
