"","GEOID","NAME","variable","estimate","moe","label","concept"
"1","01","Alabama","S2301_C02_021",73.1,0.3,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"2","02","Alaska","S2301_C02_021",78.1,0.5,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"3","04","Arizona","S2301_C02_021",77,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"4","05","Arkansas","S2301_C02_021",73.6,0.3,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"5","06","California","S2301_C02_021",78,0.1,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"6","08","Colorado","S2301_C02_021",82.3,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"7","09","Connecticut","S2301_C02_021",81.7,0.3,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"8","10","Delaware","S2301_C02_021",79.7,0.4,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"9","11","District of Columbia","S2301_C02_021",83.7,0.5,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"10","12","Florida","S2301_C02_021",77.5,0.1,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"11","13","Georgia","S2301_C02_021",77.4,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"12","15","Hawaii","S2301_C02_021",80.6,0.4,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"13","16","Idaho","S2301_C02_021",78.1,0.4,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"14","17","Illinois","S2301_C02_021",80.3,0.1,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"15","18","Indiana","S2301_C02_021",78.9,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"16","19","Iowa","S2301_C02_021",82.8,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"17","20","Kansas","S2301_C02_021",81.1,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"18","21","Kentucky","S2301_C02_021",73.7,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"19","22","Louisiana","S2301_C02_021",73,0.3,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"20","23","Maine","S2301_C02_021",79,0.4,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"21","24","Maryland","S2301_C02_021",82,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"22","25","Massachusetts","S2301_C02_021",82.2,0.1,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"23","26","Michigan","S2301_C02_021",77,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"24","27","Minnesota","S2301_C02_021",84.3,0.1,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"25","28","Mississippi","S2301_C02_021",72,0.4,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"26","29","Missouri","S2301_C02_021",78.5,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"27","30","Montana","S2301_C02_021",79.1,0.4,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"28","31","Nebraska","S2301_C02_021",83.9,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"29","32","Nevada","S2301_C02_021",77.7,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"30","33","New Hampshire","S2301_C02_021",82.1,0.3,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"31","34","New Jersey","S2301_C02_021",81.4,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"32","35","New Mexico","S2301_C02_021",73.2,0.4,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"33","36","New York","S2301_C02_021",78.3,0.1,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"34","37","North Carolina","S2301_C02_021",77.8,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"35","38","North Dakota","S2301_C02_021",84.3,0.4,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"36","39","Ohio","S2301_C02_021",78.8,0.1,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"37","40","Oklahoma","S2301_C02_021",75.3,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"38","41","Oregon","S2301_C02_021",78.4,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"39","42","Pennsylvania","S2301_C02_021",79.1,0.1,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"40","44","Rhode Island","S2301_C02_021",80.7,0.5,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"41","45","South Carolina","S2301_C02_021",76.5,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"42","46","South Dakota","S2301_C02_021",82.9,0.4,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"43","47","Tennessee","S2301_C02_021",76.5,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"44","48","Texas","S2301_C02_021",78.2,0.1,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"45","49","Utah","S2301_C02_021",81.3,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"46","50","Vermont","S2301_C02_021",81.1,0.5,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"47","51","Virginia","S2301_C02_021",80.2,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"48","53","Washington","S2301_C02_021",79.4,0.1,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"49","54","West Virginia","S2301_C02_021",69.7,0.4,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"50","55","Wisconsin","S2301_C02_021",81.8,0.2,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"51","56","Wyoming","S2301_C02_021",80.7,0.5,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
"52","72","Puerto Rico","S2301_C02_021",63,0.3,"Estimate!!Labor Force Participation Rate!!Population 20 to 64 years","Employment Status"
