"","GEOID","NAME","variable","estimate","moe","label","concept"
"1","01","Alabama","S0101_C02_030",17.5,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"2","02","Alaska","S0101_C02_030",13.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"3","04","Arizona","S0101_C02_030",18.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"4","05","Arkansas","S0101_C02_030",17.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"5","06","California","S0101_C02_030",15.3,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"6","08","Colorado","S0101_C02_030",15.2,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"7","09","Connecticut","S0101_C02_030",18.1,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"8","10","Delaware","S0101_C02_030",20,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"9","11","District of Columbia","S0101_C02_030",12.7,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"10","12","Florida","S0101_C02_030",21.1,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"11","13","Georgia","S0101_C02_030",14.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"12","15","Hawaii","S0101_C02_030",19.9,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"13","16","Idaho","S0101_C02_030",16.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"14","17","Illinois","S0101_C02_030",16.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"15","18","Indiana","S0101_C02_030",16.4,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"16","19","Iowa","S0101_C02_030",17.8,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"17","20","Kansas","S0101_C02_030",16.6,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
"18","21","Kentucky","S0101_C02_030",17,0.1,"Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Age and Sex"
