"","GEOID","NAME","variable","estimate","moe","label","concept"
"1","01","Alabama","S1701_C03_001",15.6,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"2","02","Alaska","S1701_C03_001",10.2,0.3,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"3","04","Arizona","S1701_C03_001",12.8,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"4","05","Arkansas","S1701_C03_001",16,0.3,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"5","06","California","S1701_C03_001",12,0.1,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"6","08","Colorado","S1701_C03_001",9.4,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"7","09","Connecticut","S1701_C03_001",10,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"8","10","Delaware","S1701_C03_001",10.7,0.5,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"9","11","District of Columbia","S1701_C03_001",14.5,0.7,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"10","12","Florida","S1701_C03_001",12.6,0.1,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"11","13","Georgia","S1701_C03_001",13.5,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"12","15","Hawaii","S1701_C03_001",10,0.3,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"13","16","Idaho","S1701_C03_001",10.6,0.3,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"14","17","Illinois","S1701_C03_001",11.7,0.1,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"15","18","Indiana","S1701_C03_001",12.2,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"16","19","Iowa","S1701_C03_001",11,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"17","20","Kansas","S1701_C03_001",11.5,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"18","21","Kentucky","S1701_C03_001",16.1,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"19","22","Louisiana","S1701_C03_001",18.9,0.3,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"20","23","Maine","S1701_C03_001",10.8,0.3,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"21","24","Maryland","S1701_C03_001",9.3,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"22","25","Massachusetts","S1701_C03_001",10,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"23","26","Michigan","S1701_C03_001",13.1,0.1,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"24","27","Minnesota","S1701_C03_001",9.2,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"25","28","Mississippi","S1701_C03_001",19.1,0.4,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"26","29","Missouri","S1701_C03_001",12.6,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"27","30","Montana","S1701_C03_001",12,0.3,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"28","31","Nebraska","S1701_C03_001",10.3,0.3,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"29","32","Nevada","S1701_C03_001",12.6,0.3,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"30","33","New Hampshire","S1701_C03_001",7.2,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"31","34","New Jersey","S1701_C03_001",9.8,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"32","35","New Mexico","S1701_C03_001",18.1,0.4,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"33","36","New York","S1701_C03_001",13.7,0.1,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"34","37","North Carolina","S1701_C03_001",13.2,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"35","38","North Dakota","S1701_C03_001",10.6,0.4,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"36","39","Ohio","S1701_C03_001",13.2,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"37","40","Oklahoma","S1701_C03_001",15.3,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"38","41","Oregon","S1701_C03_001",11.9,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"39","42","Pennsylvania","S1701_C03_001",11.8,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"40","44","Rhode Island","S1701_C03_001",10.9,0.5,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"41","45","South Carolina","S1701_C03_001",14.2,0.3,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"42","46","South Dakota","S1701_C03_001",12,0.4,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"43","47","Tennessee","S1701_C03_001",13.8,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"44","48","Texas","S1701_C03_001",13.8,0.1,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"45","49","Utah","S1701_C03_001",8.6,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"46","50","Vermont","S1701_C03_001",10.3,0.4,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"47","51","Virginia","S1701_C03_001",9.9,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"48","53","Washington","S1701_C03_001",9.9,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"49","54","West Virginia","S1701_C03_001",16.6,0.4,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"50","55","Wisconsin","S1701_C03_001",10.6,0.2,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"51","56","Wyoming","S1701_C03_001",10.7,0.6,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
"52","72","Puerto Rico","S1701_C03_001",41.6,0.4,"Estimate!!Percent below poverty level!!Population for whom poverty status is determined","Poverty Status in the Past 12 Months"
