"","GEOID","NAME","variable","estimate","moe","label","concept"
"1","01","Alabama","S2701_C03_001",90.6,0.2,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"2","02","Alaska","S2701_C03_001",88.8,0.4,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"3","04","Arizona","S2701_C03_001",89.4,0.2,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"4","05","Arkansas","S2701_C03_001",91,0.2,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"5","06","California","S2701_C03_001",93.1,0.1,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"6","08","Colorado","S2701_C03_001",92.3,0.2,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"7","09","Connecticut","S2701_C03_001",94.7,0.2,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"8","10","Delaware","S2701_C03_001",93.8,0.3,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"9","11","District of Columbia","S2701_C03_001",96.6,0.3,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"10","12","Florida","S2701_C03_001",88.1,0.1,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"11","13","Georgia","S2701_C03_001",87.4,0.2,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"12","15","Hawaii","S2701_C03_001",96.3,0.1,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"13","16","Idaho","S2701_C03_001",90.7,0.3,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
"14","17","Illinois","S2701_C03_001",93,0.1,"Estimate!!Percent Insured!!Civilian noninstitutionalized population","Selected Characteristics of Health Insurance Coverage in the United States"
